Country Name,Country Code,Indicator Name,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Congo, Dem. Rep.",COD,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24150000000,12884204133,6758801656,6043617683,5521933157,5265845520,5354705132,4836508825,6352189539,6736847687,9656903117,8651034121,10160866714,11227938561,12935882645,14967629186,17289554793,18779552732,20430702015,22402540283,25959164643,29063367488,32572882626,34874329939,36861850048,37221273740,41634219504,45692407059,49887060272,53924709479,60052867645,67082242169
"Congo, Rep.",COG,"GNI, Atlas method (current US$)",158326821.1,161150656.6,176083143.1,192891328.4,207878337,226840198.3,256651203.1,277636545.2,288176923.6,317339780.1,379962629.8,491411980.3,631360611.4,770488106.8,762703507.9,733541235.6,822173401.4,1056930934,1471072611,1994651425,2305277018,2093825205,2123882360,2036069432,2067620279,2285500045,2076243238,2164497353,2184433377,2336440014,2642413874,2334475007,2000467564,1297162550,1301256536,1690781317,1705750317,1496713470,1768073607,2029573755,2231131458,2369567661,2697315750,4053527152,5976308672,6587426915,8615060647,10311878921,11771121125,11915392294,15782493422,17313490446,18910480124,15680036451,11826831605,9326600455,11333708128,12270544188,12850227368,12969669098,13696918302,15080877239
Colombia,COL,"GNI, Atlas method (current US$)",4792217291,5002017620,5561266614,5804678121,6082349862,5853350170,6190448195,6613883700,7103010744,7813262976,8862818772,10561444088,12837045296,14252133771,15330058080,17350011792,21860839009,27818362743,33681681112,37001968210,37483967391,36837331876,37464968495,36378041928,37148422370,38648297441,41381001423,40648006837,43893397365,46579878500,54023122657,61264788418,73239600314,85679675738,94027442795,1.00289E+11,98429906787,91019551795,92669093768,93638890854,97018118715,98456176466,1.10136E+11,1.27738E+11,1.51321E+11,1.80466E+11,2.08788E+11,2.30155E+11,2.54731E+11,2.88424E+11,3.35735E+11,3.69804E+11,3.85376E+11,3.48545E+11,3.11103E+11,2.90429E+11,3.11265E+11,3.30794E+11,2.9608E+11,3.20688E+11,3.43773E+11,3.5764E+11
Comoros,COM,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,216397112.4,197280473.9,191016093.9,194506041.3,226349359.8,292085210.2,370696267.1,371461500,402765172.8,403462093,479679673.5,486967861,402603393.4,402138300,382296082.7,398063273,376393634.3,372252608.4,393975209.4,387103274.4,386786786.4,458368034.4,565947876.3,665579377.4,709088890.7,747980643.8,848170258.3,925091267.8,952025731,993507570.2,1026244795,1104635691,1131080190,1077014644,1049206413,1042484956,1151006059,1206204779,1228416136,1299480092,1346487581,1362922271
Cabo Verde,CPV,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,148707770.1,140218585.8,137316079.3,140582002.8,161763166.6,207625509.8,272453214.9,296816548.5,303441502.8,314415013.2,371459822.6,435906136.3,490005741.5,542989128.4,532058409.5,547448537.4,547204891.3,576475742.7,601942766.1,586869502.3,576296000.3,683318488.5,868569948.4,1001870368,1078287600,1374561830,1684040287,1847180158,1835942795,1920603506,1911675914,1966246973,1920929341,1855146771,1833718972,1855294383,2072912095,2269954897,1807703478,2001844710,2408281584,2561803504
Costa Rica,CRI,"GNI, Atlas method (current US$)",510661788.5,524044373.8,531840913.3,584229834.4,640333688.5,688555356.4,771172923.2,847838888.2,958130614.7,1076556700,1230659087,1511754530,1801372925,2030445109,2246123719,2748396724,3346298499,4049767892,4648950026,3485255285,2563615132,2426760150,2962521564,3388283770,4041148944,4613006561,4891145228,5042102521,5445106527,6237699529,7712824109,9224743833,10306064353,11285050575,11766952315,12446126671,12939613478,13446453168,14146862880,14822885354,15450835422,16769609262,18499605584,19905346087,21990913590,25010827545,28603178144,29557711176,33244464034,37512154939,43519328971,47131670185,49647414900,51917061835,54400824903,56910786819,59880004870,61231309982,58897248397,63811739573,66928185420,72206986728
Caribbean small states,CSS,"GNI, Atlas method (current US$)",694672499.5,693201398.2,770570220.8,907344893.9,998437196.5,1111353550,1191100416,1310387624,1415057231,1543118460,1667783929,1942834708,2258767771,2786831338,2590900917,2806178857,3154086756,3890946908,4417651961,4736809590,4817290684,4810874736,5289490781,5792920417,6475195508,7321768754,8311856210,8457370397,8221198792,8182793826,8636160343,8884923325,9370019883,10595801230,11682413989,11727010547,12984721928,15297592986,16591169212,16759035378,17369218240,18462836060,20207516786,21834981356,23495541647,25729569653,28385822755,28316405064,28750413383,29306255372,30808408244,31303544442,31958443167,32107036422,31751279578,32488403172,34201383569,35610488347,31644079214,35525007707,43817623032,50144690254
Cuba,CUB,"GNI, Atlas method (current US$)",,,,,,,,,,,7654613510,9546591324,11569961942,14193195504,14800868279,15455678192,17363293578,19512179192,21119502930,24056038962,23252510413,21755667089,23126114248,23320453051,24321942440,25567557507,28873905333,28867591551,28120656970,24971028458,22815345024,20218963992,23143262788,27768438077,29621046683,27489954777,24684789962,26570698403,29128448480,30765261109,31589119971,34760454082,39238796239,44603695998,49685068457,53445412522,56799690055,57381800564,58353165045,63216019000,68805659758,74969137046,77327154451,81916050561,84810814985,90098676169,97808466657,1.00934E+11,,,,
Curacao,CUW,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2925271753,2958863918,2966429649,2915027209,2919558374,2999349345,3013287540,2525649959,2767675742,3088069617,
Cayman Islands,CYM,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3979166029,4111797725,2922694015,2638729021,2611956902,2738890218,3018186349,3348707345,3816554162,4344154114,3864114473,4269492233,4726063060,
Cyprus,CYP,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,756898956.5,901264824.7,1207828482,1726596339,2095489079,2351989497,2227811397,2331985444,2423801414,2751976996,3487418285,4426251534,4866794714,5395387662,5629592308,6736357637,6867711196,7468660383,8339067554,9178251051,9579818715,10520514547,9848660642,9843307590,9941641678,10293746014,12003062484,14750716602,17715663973,19226577788,20976215336,25151977751,26520231446,26681097160,27810261261,25711742189,24010515693,22671961644,22116016423,21151390958,21502599488,23831900696,25188847964,23971840181,26550740742,28769037688,28780345633
Czechia,CZE,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34663355282,36201444157,43048151956,53154508623,61697371395,63483517808,62858545818,62843152930,64987090229,64839375165,67783866156,82646035953,1.04583E+11,1.27386E+11,1.43356E+11,1.63233E+11,1.92199E+11,1.96751E+11,2.03242E+11,2.04242E+11,2.04329E+11,2.04098E+11,1.98969E+11,1.93692E+11,1.8673E+11,1.93979E+11,2.18603E+11,2.36019E+11,2.33177E+11,2.57713E+11,2.78991E+11,2.94826E+11
Germany,DEU,"GNI, Atlas method (current US$)",1.01264E+11,1.09979E+11,1.21482E+11,1.33029E+11,1.42521E+11,1.46465E+11,1.60471E+11,1.78938E+11,2.02745E+11,2.33072E+11,2.83276E+11,3.68876E+11,4.57649E+11,5.28903E+11,5.58747E+11,5.99273E+11,6.92558E+11,8.63603E+11,1.01844E+12,9.83278E+11,8.71247E+11,7.82942E+11,7.68889E+11,7.64138E+11,8.73568E+11,1.10825E+12,1.45495E+12,1.55579E+12,1.69198E+12,1.83115E+12,2.08117E+12,2.10922E+12,2.24168E+12,2.41127E+12,2.52827E+12,2.47264E+12,2.29346E+12,2.2039E+12,2.15193E+12,2.03959E+12,1.95307E+12,2.15776E+12,2.61302E+12,2.94967E+12,3.15215E+12,3.32951E+12,3.58435E+12,3.57576E+12,3.65393E+12,3.79877E+12,3.74475E+12,3.80784E+12,3.85831E+12,3.74002E+12,3.64662E+12,3.61706E+12,3.93744E+12,4.10552E+12,3.98901E+12,4.32996E+12,4.52764E+12,4.55913E+12
Djibouti,DJI,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2424979431,2567960140,2696416614,2911613223,3031553939,3084474047,3370977039,3776370837,3921774065
Dominica,DMA,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,53585699.03,72637477.62,87254348.01,90611635.13,90883266.35,98417532.19,108608710.8,129716620.5,155564680.9,182438062.9,184086103.6,197899422.5,208283229.9,225925068.8,241475909.7,248009758.2,264289169.9,275768456.7,283199926.7,294595692.8,293329173.6,294217097.5,311236586.1,298061993.9,327965320.2,348579485.5,356700475.8,388113954.5,407477273.1,449090378.7,462243714,476765603.3,490846538.3,486319847.6,475772293.7,500641683.1,489397211.1,519425266.5,520762511.8,559074807.2,589597300.4,515769765.5,563705637.1,616174071.7,651217745.8
Denmark,DNK,"GNI, Atlas method (current US$)",7590194923,8047593809,9291452344,10366599665,11401575074,12748854751,13938046557,15354585000,16308902824,18209837013,21514494647,28034481927,34294617945,40897434958,45469951770,49764663382,57009817544,69394824026,77330606107,72637946717,65827045170,59870002448,58900360923,60566510454,72028749107,91051027240,1.135E+11,1.18323E+11,1.25295E+11,1.31647E+11,1.48439E+11,1.48249E+11,1.58035E+11,1.70386E+11,1.83006E+11,1.85767E+11,1.775E+11,1.75944E+11,1.73982E+11,1.68327E+11,1.65858E+11,1.87336E+11,2.30448E+11,2.68878E+11,2.91089E+11,3.04395E+11,3.31766E+11,3.31855E+11,3.39645E+11,3.45316E+11,3.44719E+11,3.54891E+11,3.59299E+11,3.43919E+11,3.32444E+11,3.26789E+11,3.54925E+11,3.67132E+11,3.64694E+11,4.08704E+11,4.34002E+11,4.36283E+11
Dominican Republic,DOM,"GNI, Atlas method (current US$)",778525998.7,870722009.3,985094769.1,897126699.5,1013967734,1043388519,1071023353,1227498065,1516951785,1731786737,2063350133,2523182175,3064372959,3665475491,4102484766,4488922352,4984803022,5839259257,6613270436,7174906451,7520248291,7674409958,8241966672,7079127123,6792763494,6318716797,6294993256,6360550478,6232622189,7597408952,10039046869,12249948807,13441406793,15303750562,17266571924,19100547726,20118735303,21206294822,22728940249,23561439536,25201778673,23372436260,22955538757,27632794507,33554100027,41378487515,45028627350,47156386380,51643634917,54324156969,57491440475,60589449969,64374278409,67656552686,71380388936,74569119174,82662423242,86960621720,78824443986,90001330350,1.01864E+11,1.0997E+11
Algeria,DZA,"GNI, Atlas method (current US$)",2182642268,2777609806,2918156886,3079268959,2957502180,3345604630,3857859683,4366195613,4799676985,4690937556,6664505165,8365698868,11506739459,15141027321,18096786577,19366617870,23906068088,30659334370,38178434398,43584477098,46265793731,46315260913,49362386616,53939863444,59892521586,66741072177,67132937411,64005058345,60956936668,52339256934,51382865918,47747265136,45725016808,44716411764,44343256241,44788278218,46561983708,47002807984,49486762889,54032912761,58313060519,67350652036,79752775922,96232338310,1.11405E+11,1.29385E+11,1.5433E+11,1.62116E+11,1.76334E+11,1.86242E+11,2.12028E+11,2.29321E+11,2.36327E+11,2.15807E+11,2.01027E+11,1.85016E+11,1.89281E+11,1.9406E+11,1.77027E+11,1.84244E+11,2.01445E+11,2.26263E+11
East Asia & Pacific (excluding high income),EAP,"GNI, Atlas method (current US$)",65790493052,73222540036,82956653471,96143375616,1.06753E+11,1.03463E+11,1.03108E+11,1.18767E+11,1.36447E+11,1.44047E+11,1.55861E+11,1.92598E+11,2.30557E+11,2.73716E+11,2.72962E+11,2.9442E+11,3.17454E+11,3.56138E+11,3.99969E+11,4.29951E+11,4.36789E+11,4.38224E+11,4.70772E+11,5.11013E+11,5.51841E+11,5.87027E+11,6.28067E+11,6.4215E+11,6.77335E+11,7.36558E+11,8.29775E+11,9.13631E+11,1.03851E+12,1.21047E+12,1.42619E+12,1.5631E+12,1.48193E+12,1.53839E+12,1.65533E+12,1.8005E+12,1.96524E+12,2.25225E+12,2.67049E+12,3.10033E+12,3.61542E+12,4.37089E+12,5.36518E+12,6.27895E+12,7.3944E+12,8.61326E+12,1.01531E+13,1.15012E+13,1.26051E+13,1.32132E+13,1.37386E+13,1.45488E+13,1.60694E+13,1.7397E+13,1.76339E+13,1.98348E+13,2.14363E+13,2.22884E+13
Early-demographic dividend,EAR,"GNI, Atlas method (current US$)",,,,,,2.39175E+11,2.57579E+11,2.84014E+11,3.11238E+11,3.35624E+11,3.74613E+11,4.54299E+11,5.94318E+11,7.42165E+11,8.55185E+11,9.06709E+11,1.00468E+12,1.20207E+12,1.46797E+12,1.70674E+12,1.70688E+12,1.595E+12,1.4266E+12,1.3946E+12,1.46621E+12,1.55972E+12,1.65845E+12,1.63903E+12,1.75389E+12,1.88115E+12,2.11714E+12,2.28715E+12,2.46054E+12,2.57031E+12,2.73635E+12,2.87176E+12,2.84869E+12,2.92919E+12,3.14548E+12,3.2503E+12,3.23093E+12,3.49069E+12,4.02455E+12,4.67768E+12,5.32643E+12,6.1082E+12,6.93872E+12,7.28195E+12,8.05727E+12,8.92588E+12,9.98831E+12,1.05198E+13,1.07659E+13,1.05323E+13,1.05532E+13,1.08697E+13,1.1564E+13,1.19166E+13,1.11363E+13,1.24064E+13,1.37611E+13,1.46692E+13
East Asia & Pacific,EAS,"GNI, Atlas method (current US$)",1.59976E+11,1.78921E+11,2.04266E+11,2.30216E+11,2.58666E+11,2.78038E+11,3.09241E+11,3.61039E+11,4.03045E+11,4.50083E+11,5.3873E+11,7.00549E+11,8.67925E+11,1.02988E+12,1.08446E+12,1.18946E+12,1.42575E+12,1.75756E+12,2.02529E+12,2.14023E+12,2.09518E+12,2.06676E+12,2.16665E+12,2.35563E+12,2.74424E+12,3.39569E+12,4.40967E+12,4.82282E+12,5.09386E+12,5.3585E+12,5.80761E+12,6.38376E+12,7.07791E+12,8.06574E+12,8.57723E+12,8.40935E+12,7.43696E+12,7.42915E+12,7.92717E+12,8.1766E+12,8.1462E+12,8.59469E+12,9.73986E+12,1.07457E+13,1.14369E+13,1.23105E+13,1.35039E+13,1.4358E+13,1.62615E+13,1.81744E+13,2.04779E+13,2.19739E+13,2.26425E+13,2.25306E+13,2.28635E+13,2.38074E+13,2.59846E+13,2.75199E+13,2.75275E+13,3.04371E+13,3.21269E+13,3.26439E+13
Europe & Central Asia (excluding high income),ECA,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14742E+11,3.28033E+11,3.51731E+11,3.42851E+11,2.91335E+11,3.04155E+11,3.13205E+11,3.39767E+11,3.57951E+11,3.61863E+11,3.99021E+11,3.56648E+11,3.67768E+11,4.23162E+11,5.60348E+11,7.17624E+11,8.56231E+11,1.02146E+12,1.19467E+12,1.2092E+12,1.32439E+12,1.43851E+12,1.58858E+12,1.74065E+12,1.76008E+12,1.66723E+12,1.52709E+12,1.48629E+12,1.49471E+12,1.49661E+12,1.45877E+12,1.60642E+12,1.7138E+12,1.90354E+12
Europe & Central Asia,ECS,"GNI, Atlas method (current US$)",5.00266E+11,5.46249E+11,6.03369E+11,6.61915E+11,7.20131E+11,7.73073E+11,8.38966E+11,9.1482E+11,9.98536E+11,1.10875E+12,1.30086E+12,1.66165E+12,2.04298E+12,2.36986E+12,2.5224E+12,2.71118E+12,3.08688E+12,3.84141E+12,4.63458E+12,4.68723E+12,4.31817E+12,3.88716E+12,3.77114E+12,3.78049E+12,4.34687E+12,5.52364E+12,7.12132E+12,7.64919E+12,8.25221E+12,8.7973E+12,9.74187E+12,9.62248E+12,9.80655E+12,1.02526E+13,1.08957E+13,1.11411E+13,1.08203E+13,1.07175E+13,1.08123E+13,1.04774E+13,1.04315E+13,1.18278E+13,1.44346E+13,1.67733E+13,1.82094E+13,1.97934E+13,2.16486E+13,2.15317E+13,2.18215E+13,2.22879E+13,2.26509E+13,2.33761E+13,2.35269E+13,2.2382E+13,2.12809E+13,2.0927E+13,2.24298E+13,2.33486E+13,2.21755E+13,2.47158E+13,2.62799E+13,2.68505E+13
Ecuador,ECU,"GNI, Atlas method (current US$)",1828160300,1749123610,1944552715,2262321384,2419902851,2583204385,2673950742,2952247288,3132278625,3192851002,3268069483,3961307950,5613336737,7646360774,9229581030,10026225979,11767347243,14139584604,16850553177,20157984086,20139154052,18198622568,16743553333,16511920075,16423526916,15597350546,14697799744,13629080201,14025768046,15529357580,17135231535,18262965999,20372379639,22580889671,24339953428,26063045891,26353511406,22149889065,19065970009,19219108434,21688527879,26883755269,32741524214,38104280066,42233273977,45936131767,55011278678,58806898660,64709460525,73112463902,82886902523,93008482918,99209162263,97078893909,95015405748,99488868339,1.04395E+11,1.05801E+11,94925517368,1.082E+11,1.17439E+11,1.1839E+11
"Egypt, Arab Rep.",EGY,"GNI, Atlas method (current US$)",,,,,,5534350991,5771048919,6432952424,7452902780,8397497877,9533946247,10781692492,11275493940,12655820124,13695012144,15026995975,15944121321,17651029038,21064278224,23032587142,25258546569,26289052558,30715860546,33693330948,37651397712,45293783683,44764587268,42825454815,42420796569,42843318976,44228056329,45241295296,50271041898,57511719356,64873021590,73071402512,79937842216,88414978343,97432762038,1.0057E+11,94941797649,90657199755,88795737076,91810183217,1.01587E+11,1.19973E+11,1.46881E+11,1.72129E+11,1.96292E+11,2.16784E+11,2.4518E+11,2.67961E+11,2.92268E+11,3.09136E+11,3.25199E+11,2.99136E+11,2.85957E+11,2.84477E+11,3.23679E+11,3.84944E+11,4.55137E+11,4.39247E+11
Euro area,EMU,"GNI, Atlas method (current US$)",3.00785E+11,3.3059E+11,3.66613E+11,4.05945E+11,4.44107E+11,4.76222E+11,5.22078E+11,5.78947E+11,6.39684E+11,7.12168E+11,8.39969E+11,1.08489E+12,1.35228E+12,1.56906E+12,1.67212E+12,1.80271E+12,2.05645E+12,2.56119E+12,3.08658E+12,3.06814E+12,2.78719E+12,2.48968E+12,2.42431E+12,2.43174E+12,2.81289E+12,3.6036E+12,4.69862E+12,5.06009E+12,5.48097E+12,5.89407E+12,6.64657E+12,6.57301E+12,6.76613E+12,7.15089E+12,7.57828E+12,7.5943E+12,7.28144E+12,7.16729E+12,7.12457E+12,6.86077E+12,6.7319E+12,7.62599E+12,9.32085E+12,1.07304E+13,1.14839E+13,1.22688E+13,1.32832E+13,1.33685E+13,1.34568E+13,1.35909E+13,1.32498E+13,1.33657E+13,1.3384E+13,1.28611E+13,1.24265E+13,1.2287E+13,1.33422E+13,1.38578E+13,1.31498E+13,1.45782E+13,1.53192E+13,1.54216E+13
Eritrea,ERI,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670889.5,600478396.2,653043067.4,708238130.9,723778073.6,704154667.4,696070945.5,742638747.1,749384418.1,778773283,922193277.4,1100996644,1183884133,1244705709,1252035687,1501264214,1632264942,1940938992,,,,,,,,,,,,
Spain,ESP,"GNI, Atlas method (current US$)",16019684998,18474910583,20722389452,23941323483,27774616129,31244153222,34343832437,38004610468,40289396634,45205374823,55060333884,72965740271,96694794533,1.1601E+11,1.24069E+11,1.33016E+11,1.48887E+11,1.86236E+11,2.3294E+11,2.38353E+11,2.15774E+11,1.85354E+11,1.75586E+11,1.75227E+11,2.08444E+11,2.74965E+11,3.64911E+11,4.15563E+11,4.74412E+11,5.33723E+11,6.11177E+11,5.90892E+11,5.72393E+11,5.88924E+11,6.20845E+11,6.33758E+11,6.21066E+11,6.25079E+11,6.40418E+11,6.34683E+11,6.47442E+11,7.62627E+11,9.50024E+11,1.13111E+12,1.23659E+12,1.34626E+12,1.48199E+12,1.50957E+12,1.48908E+12,1.44974E+12,1.38179E+12,1.36293E+12,1.35526E+12,1.3219E+12,1.2815E+12,1.26357E+12,1.37243E+12,1.43119E+12,1.28727E+12,1.42662E+12,1.53303E+12,1.55645E+12
Estonia,EST,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4345458920,4774803911,5095442484,5298222731,5336659215,5820015771,5983865779,6368426360,7859558696,10218911833,13177819041,15485446036,18001208025,20312416456,19437433582,19414782061,21027127913,22169270182,23904432973,24820276439,24427565023,24062824109,24718216209,27993622667,30637050197,31247749186,35013867423,36685240236,37216966004
Ethiopia,ETH,"GNI, Atlas method (current US$)",,1852937437,1953015099,2130787705,2363529986,2503347474,2671027109,2796043421,3025987932,3342579615,3663141259,4243248802,4950461382,5300008123,5250305101,5515407523,6169397624,6887490299,7865270907,8264896263,7971340912,8381601413,8222546681,8039317847,9835804037,12458749769,12498115958,12130828340,12602805977,12577894685,11734684424,11688102726,9327938063,8569761925,8927796434,8970632872,8170523410,8204966400,8418570726,8633863913,8244541288,8231634992,10032643823,12291510934,14407106797,17783871681,23011340075,28930389371,33247716570,35237153540,38143234739,44574882636,53613585572,60070106909,68942782201,78378663870,86862226453,94972299424,1.02643E+11,1.13576E+11,1.26125E+11,1.42605E+11
European Union,EUU,"GNI, Atlas method (current US$)",3.38414E+11,3.71382E+11,4.12222E+11,4.56157E+11,4.98895E+11,5.36133E+11,5.87711E+11,6.51136E+11,7.18818E+11,7.98579E+11,9.39969E+11,1.21163E+12,1.50771E+12,1.75259E+12,1.86888E+12,2.01416E+12,2.29475E+12,2.84892E+12,3.42183E+12,3.40172E+12,3.09074E+12,2.75813E+12,2.68448E+12,2.69305E+12,3.11714E+12,3.98716E+12,5.17635E+12,5.56532E+12,6.01321E+12,6.44763E+12,7.25589E+12,7.17399E+12,7.39756E+12,7.83775E+12,8.33539E+12,8.37855E+12,8.05843E+12,7.9491E+12,7.92183E+12,7.64039E+12,7.524E+12,8.53367E+12,1.04272E+13,1.20362E+13,1.29355E+13,1.38842E+13,1.51353E+13,1.52352E+13,1.53551E+13,1.55311E+13,1.52286E+13,1.5398E+13,1.54379E+13,1.48486E+13,1.43338E+13,1.42028E+13,1.54515E+13,1.60971E+13,1.53624E+13,1.70363E+13,1.79654E+13,1.81267E+13
Fragile and conflict affected situations,FCS,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23929E+12,1.33918E+12,1.48005E+12,1.52039E+12,1.73992E+12,1.84346E+12,1.92696E+12,1.73689E+12,1.61488E+12,1.5349E+12,1.62316E+12,1.75504E+12,1.68142E+12,1.79994E+12,1.88414E+12,1.9059E+12
Finland,FIN,"GNI, Atlas method (current US$)",6166011017,6659535608,7377415819,8275717549,9012167272,9488694557,9646755513,10474257505,11605849399,12550230962,14709102154,18794813604,24079600334,29765874594,32300960782,34053055426,37584607106,45434843595,54701878014,57507983627,56456653627,52620625523,52686638576,54558436576,64001867575,81257441731,1.0654E+11,1.19691E+11,1.29669E+11,1.25822E+11,1.21884E+11,1.04778E+11,1.0265E+11,1.12512E+11,1.27959E+11,1.37111E+11,1.33052E+11,1.34541E+11,1.37074E+11,1.34096E+11,1.33251E+11,1.50119E+11,1.84951E+11,2.11061E+11,2.256E+11,2.44301E+11,2.66547E+11,2.61355E+11,2.66818E+11,2.70805E+11,2.65144E+11,2.69268E+11,2.69902E+11,2.58523E+11,2.50228E+11,2.47001E+11,2.6593E+11,2.75771E+11,2.7664E+11,2.94858E+11,3.04106E+11,2.98118E+11
Fiji,FJI,"GNI, Atlas method (current US$)",118865283.5,125007821.9,135673486.2,135618288.9,145203293.5,166346894.7,174028044.8,177185059.3,207221440.5,235244741.7,287569493.7,397089695.6,527327037.2,644318660.6,719563764,775843725.7,831466038.4,1029995360,1185080020,1325946882,1202889040,1085924755,1164470864,1127299019,1284850829,1279269236,1293591030,1295237863,1306438502,1315215684,1482937759,1578385897,1708338551,1906416179,2090306761,2047355863,1834807612,1894424515,1807689112,1737732961,1760313112,1967272474,2467124173,2931305461,2975240278,3170297133,3368733056,3288010278,3139072721,3260614137,3579354242,4082627792,4349731979,4432045850,4605397527,4708581125,5219764211,5137755329,4283231295,4146982909,5013878995,5221726815
France,FRA,"GNI, Atlas method (current US$)",74257719252,82402899999,92046177889,1.01291E+11,1.10847E+11,1.19951E+11,1.30916E+11,1.45298E+11,1.57085E+11,1.70067E+11,1.9363E+11,2.49515E+11,3.10282E+11,3.62371E+11,3.87113E+11,4.25144E+11,4.82761E+11,5.93993E+11,7.21448E+11,7.31093E+11,6.7084E+11,5.8522E+11,5.53014E+11,5.53526E+11,6.4534E+11,8.28767E+11,1.06726E+12,1.12944E+12,1.20215E+12,1.25418E+12,1.40316E+12,1.39395E+12,1.44623E+12,1.53249E+12,1.61976E+12,1.61471E+12,1.55434E+12,1.53818E+12,1.52227E+12,1.46483E+12,1.43074E+12,1.61847E+12,1.97249E+12,2.26968E+12,2.41044E+12,2.57082E+12,2.80306E+12,2.85151E+12,2.85958E+12,2.90406E+12,2.85061E+12,2.8909E+12,2.87405E+12,2.73726E+12,2.60889E+12,2.56409E+12,2.76477E+12,2.8616E+12,2.65197E+12,2.96892E+12,3.07822E+12,3.07246E+12
Faroe Islands,FRO,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2385686290,2593906950,2728603400,2871363626,2926713705,2820525000,2841462302,2907421057,3207259639,3415374888,3378612410,3693673130,3950953097,
"Micronesia, Fed. Sts.",FSM,"GNI, Atlas method (current US$)",,,,,,,,,,,25393651.14,38778351.72,51758151.29,54988700.91,54207643.56,53582776.91,58688170.32,65726208.06,69294356.42,81730511.33,81652426.92,83320236.45,83836493.33,102667994.8,126928277.5,139746423.7,156758410.9,157860758.4,171388820.3,187772005.3,198853131.8,220592345.8,225447824.9,236899382,231704122.4,209061409.2,210483831.4,221056263.4,237473482.5,242232533.1,242857470.1,254239627.1,260265322.6,271266869,269741306.9,268923341.2,268472884.4,290074870.6,298659115.9,317802578,329647093.5,336936598.4,338033794.9,380262431,373577617.4,375173756.1,371812509.8,447117539.2,441810644.5,448679940.5,462841062.8,478564599.7
Gabon,GAB,"GNI, Atlas method (current US$)",170841075.9,212043824.6,176613128.8,194223374.9,228929496.4,241325785.9,262662268.1,304356269.2,336785947.2,368968936.7,419198222.6,564468360.5,1078590449,1856414002,2941692127,2709185263,2135476615,2491821465,3336537325,3937952283,3695130921,3341475689,3467392249,3193851654,3268387089,2993634271,3732911306,4229284633,4576829245,5045421329,5133321327,4562821031,4369730600,4239251579,4562032903,4877424160,4615101480,3933969318,3803609034,4311792058,4649664083,5116305435,5839155880,7672043604,8213787072,9703706796,11120930645,11915494045,12755388825,13678642358,15897154676,16960099420,17571302937,15530343979,14216590532,13440719185,14478863019,15577086860,15647742450,15076344036,17998098955,19393758310
United Kingdom,GBR,"GNI, Atlas method (current US$)",91117639595,97759977397,1.06072E+11,1.12921E+11,1.20269E+11,1.28189E+11,1.32714E+11,1.34446E+11,1.37921E+11,1.54532E+11,1.79875E+11,2.19884E+11,2.45764E+11,2.74933E+11,2.82479E+11,2.94409E+11,3.34551E+11,4.26667E+11,5.38281E+11,6.01174E+11,6.00777E+11,5.56039E+11,5.23586E+11,5.18544E+11,5.81412E+11,7.22588E+11,9.2121E+11,9.93345E+11,1.06428E+12,1.11474E+12,1.23848E+12,1.23438E+12,1.26824E+12,1.22544E+12,1.32903E+12,1.49139E+12,1.57765E+12,1.65025E+12,1.73247E+12,1.72075E+12,1.73328E+12,1.92387E+12,2.26831E+12,2.57943E+12,2.72898E+12,2.90585E+12,2.99066E+12,2.74524E+12,2.62156E+12,2.59997E+12,2.66248E+12,2.74403E+12,2.87986E+12,2.89007E+12,2.81854E+12,2.75228E+12,2.7926E+12,2.89007E+12,2.59918E+12,3.05277E+12,3.29743E+12,3.26699E+12
